												
												
Plate 1 - SIV ENV peptides at 1mg/ml				30 ul/well								
												
	1	2	3	4	5	6	7	8	9	10	11	12
A	Vic_HA_1	Vic_HA_2	Vic_HA_3	Vic_HA_4	Vic_HA_5	Vic_HA_6	Vic_HA_7	Vic_HA_8	Vic_HA_9	Vic_HA_10	Vic_HA_11	Vic_HA_12
B	Vic_HA_13	Vic_HA_14	Vic_HA_15	Vic_HA_16	Vic_HA_17	Vic_HA_18	Vic_HA_19	Vic_HA_20	Vic_HA_21	Vic_HA_22	Vic_HA_23	Vic_HA_24
C	Vic_HA_25	Vic_HA_26	Vic_HA_27	Vic_HA_28	Vic_HA_29	Vic_HA_30	Vic_HA_31	Vic_HA_32	Vic_HA_33	Vic_HA_34	Vic_HA_35	Vic_HA_36
D	Vic_HA_37	Vic_HA_38	Vic_HA_39	Vic_HA_40	Vic_HA_41	Vic_HA_42	Vic_HA_43	Vic_HA_44	Vic_HA_45	Vic_HA_46	Vic_HA_47	Vic_HA_48
E	Vic_HA_49	Vic_HA_50	Vic_HA_51	Vic_HA_52	Vic_HA_53	Vic_HA_54	Vic_HA_55	Vic_HA_56	Vic_HA_57	Vic_HA_58	Vic_HA_59	Vic_HA_60
F	Vic_HA_61	Vic_HA_62	Vic_HA_63	Vic_HA_64	Vic_HA_65	Vic_HA_66	Vic_HA_67	Vic_HA_68	Vic_HA_69	Vic_HA_70	Vic_HA_71	Vic_HA_72
G	Vic_HA_73	Vic_HA_74	Vic_HA_75	Vic_HA_76	Vic_HA_77	Vic_HA_78	Vic_HA_79	Vic_HA_80	Vic_HA_81	Vic_HA_82	Vic_HA_83	Vic_HA_84
H	Vic_HA_85	Vic_HA_86	Vic_HA_87	Vic_HA_88	Vic_HA_89	Vic_HA_90	Vic_HA_91	Vic_HA_92	Vic_HA_93	Vic_HA_94	Vic_HA_95	Vic_HA_96
												
												
Plate 2 - SIV ENV peptides at 1mg/ml				30 ul/well								
												
	1	2	3	4	5	6	7	8	9	10	11	12
A	Vic_HA_97	Vic_HA_98	Vic_HA_99	Vic_HA_100	Vic_HA_101	Vic_HA_102	Vic_HA_103	Vic_HA_104	Vic_HA_105	Vic_HA_106	Vic_HA_107	Vic_HA_108
B	Vic_HA_109	Vic_HA_110	Vic_HA_111	Wis_HA_1	Wis_HA_2	Wis_HA_3	Wis_HA_4	Wis_HA_5	Wis_HA_6	Wis_HA_7	Wis_HA_8	Wis_HA_9
C	Wis_HA_10	Wis_HA_11	Wis_HA_12	Wis_HA_13	Wis_HA_14	Wis_HA_15	Wis_HA_16	Wis_HA_17	Wis_HA_18	Wis_HA_19	Wis_HA_20	Wis_HA_21
D	Wis_HA_22	Wis_HA_23	Wis_HA_24	Wis_HA_25	Wis_HA_26	Wis_HA_27	Wis_HA_28	Wis_HA_29	Wis_HA_30	Wis_HA_31	Wis_HA_32	Wis_HA_33
